"","activity","type","eventID","x","y","z","x_std","y_std","z_std","duration"
"49","Pause",10,0.27071635,-0.101984657666667,-0.638916016666667,10,0.455235687384609,0.0827337939210091,0.943869767771738,33
"50","Phone was out of the pocket (forgot)",4,0.349550586764706,-0.143526410911765,-1.03113465147059,4,0.369003839126548,0.0836068201546082,0.890930747358402,68
"51","Picnic ",7,0.27071635,-0.101984657666667,-0.638916016666667,7,0.44900525325423,0.0816014849486115,0.93095180334425,312
"52","Running",0,0.4768982,-0.21063232,-1.6647186,0,NA,NA,NA,1
"53","Shop",5,0.27071635,-0.101984657666667,-0.638916016666667,5,0.475478168203761,0.0864126294845462,0.985839820206919,9
"54","Shop",12,0.288495745714286,-0.102587888457143,-0.673907035714286,12,0.448403997232303,0.0837520961976092,0.932382414187867,35
"55","Shopping& wearing",2,0.27071635,-0.101984657666667,-0.638916016666667,2,0.449918218427878,0.0817674057554085,0.932844713435252,138
"56","Sleep",7,0.273082429277567,-0.102064935528517,-0.643572616159696,7,0.448341373419242,0.0817705314488762,0.929914872584805,263
"57","Train",1,0.231823921875,-0.1006650903125,-0.5623731625,1,0.47451183412631,0.0816414120323898,0.978587964381897,16
"58","Train",3,0.27071635,-0.101984657666667,-0.638916016666667,3,0.475478168203761,0.0864126294845462,0.985839820206919,9
"59","Train",8,0.265865012352941,-0.0994282420823529,-0.614779485294118,8,0.455083168918392,0.081159374106305,0.932257061250278,85
"60","Train",9,0.291334535,-0.1128494239,-0.741496275,9,0.453001811040004,0.0884188412254838,0.984439211758027,10
"61","Train",14,0.218704225,-0.11292648075,-0.61405563125,14,0.480157281511874,0.0854542892207843,1.05088686477553,8
"62","Train",18,0.278718215384615,-0.100301300269231,-0.642740691346154,18,0.451983514588225,0.082369970385072,0.929867802831367,52
"63","Train",19,0.275511276744186,-0.104511347488372,-0.662771890697674,19,0.449386439654461,0.0831383123065247,0.942531105512233,43
"64","Video games",0,0.254712619230769,-0.105351372461538,-0.631266667307692,0,0.458087847677749,0.0827657932560009,0.965070936657248,26
"65","Video games",7,0.2642731671875,-0.09858941821875,-0.6068596859375,7,0.460988614077139,0.0816884288506012,0.94054428349354,32
"66","Video games",8,0.27948084084507,-0.102282024957746,-0.65616511056338,8,0.4484322266936,0.0825871904471243,0.931046645835918,71
"67","Walk",0,0.277890436206897,-0.100475440689655,-0.642345035344828,0,0.451602326197522,0.0822773888250113,0.929825489786632,58
"68","Walk",2,0.24494361875,-0.088403699875,-0.51069069375,2,0.50154206244757,0.0814662826210569,0.970363437170017,8
"69","Walk",3,-0.3515625,-0.08087158,0.58576965,3,NA,NA,NA,1
"70","Walk",4,0.2499115,-0.1063613869,-0.6289718625,4,0.461026138188713,0.0831426301301925,0.976034690274352,20
"71","Walk",5,0.27071635,-0.101984657666667,-0.638916016666667,5,0.4910717405169,0.0892465799721705,1.01817098818387,6
"72","Walk",6,0.201677958333333,-0.0911712626666667,-0.451375329166667,6,0.495345514027958,0.0779789095893817,0.971982395105391,12
"73","Walk",7,0.266051568888889,-0.106344263155556,-0.657292005555556,7,0.45003976014171,0.0828432851278719,0.951944505637821,45
"74","Walk",8,0.27071635,-0.101984657666667,-0.638916016666667,8,0.475478168203761,0.0864126294845462,0.985839820206919,9
"75","Walk",9,0.297771952173913,-0.102902617565217,-0.692163219565217,9,0.448176202692737,0.0849689509407537,0.933429092483185,23
"76","Walk",10,0.267217764166667,-0.105254361783333,-0.652698008333333,10,0.449598927716115,0.0825184268022881,0.946312449928087,60
"77","Walk",11,0.27071635,-0.101984657666667,-0.638916016666667,11,0.549034896812464,0.0997807097885723,1.13834977114863,3
"78","Walk",13,0.218704225,-0.11292648075,-0.61405563125,13,0.480157281511874,0.0854542892207843,1.05088686477553,8
"79","Walk",18,0.231823921875,-0.1006650903125,-0.5623731625,18,0.47451183412631,0.0816414120323898,0.978587964381897,16
"80","Walking&party",0,0.27071635,-0.101984657666667,-0.638916016666667,0,0.449535565114135,0.0816978629641034,0.932051333424878,180
"81","Walking&party",2,0.269619638031915,-0.101406744569149,-0.633459619946809,2,0.450422362574706,0.0815167986475792,0.931383874230187,188
"82","Watching TV",1,0.275444725,-0.100989946477273,-0.641176051704546,1,0.450474203402322,0.0820032417739348,0.929700462722379,88
"83","Work",10,0.27071635,-0.101984657666667,-0.638916016666667,10,0.453719073439115,0.0824581669675401,0.940725273409365,42
"84","Work",16,0.26984269809322,-0.101524286216102,-0.634569395550847,16,0.449986861011911,0.0815076995303518,0.930993571561261,236
